"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","821","redirige vers la page de réinitialisation lorsqu'on clique sur Mot de passe oublié","","2026-09-07","passed","2026-09-07","","Navigation - mot de passe oublié","",""
"","1750","désactive le bouton Envoyer le paiement tant qu'il n'y a pas de destinataire","","2026-09-07","passed","2026-09-07","","Nouvelle transaction - ZotoBank","",""
"","193","retrouve le compte principal dans le tableau et se connecte","Gestion de plusieurs utilisateurs","2026-09-07","passed","2026-09-07","","Stratégie B - Tableau d'utilisateurs","",""
"","1176","refuse la connexion lorsque le nom d'utilisateur contient des espaces","","2026-09-07","passed","2026-09-07","","Robustesse de la connexion - gestion des espaces","",""
"","820","redirige vers la page d'inscription lorsqu'on clique sur S'inscrivez-vous","","2026-09-07","passed","2026-09-07","","Navigation - inscription","",""
"","2108","affiche la liste des transactions après connexion","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1518","teste la connexion avec tous les utilisateurs","Gestion de plusieurs utilisateurs","2026-09-07","passed","2026-09-07","","Stratégie B - Tableau d'utilisateurs","",""
"","918","affiche la modale de confirmation avec le bon destinataire et le bon montant","","2026-09-07","passed","2026-09-07","","Nouvelle transaction - ZotoBank","",""
"","1575","renvoie vers /login si on ouvre le dashboard sans être connecté","","2026-09-07","passed","2026-09-07","","Protection des accès - ZotoBank","",""
"Vérifie que l'erreur est affichée pour un utilisateur inexistant","1473","affiche une erreur pour un nom d'utilisateur inexistant","","2026-09-07","passed","2026-09-07","","Bénéficiaires - ZotoBank","",""
"Vérifie que la page des bénéficiaires est accessible et contient au moins un bénéficiaire","1809","affiche la page et contient au moins un bénéficiaire","","2026-09-07","passed","2026-09-07","","Bénéficiaires - ZotoBank","",""
"","700","affiche un état vide quand on combine le filtre envoyés et une recherche sans résultat","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1303","réduit la liste quand on recherche un terme présent","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1677","retrouve toutes les transactions après réinitialisation des filtres","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1175","refuse la connexion avec JOHNDOE et le bon mot de passe","","2026-09-07","passed","2026-09-07","","Robustesse de la connexion - sensibilité à la casse","",""
"","1110","ouvre le détail d'une transaction depuis la liste","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","574","affiche un état vide quand la recherche ne donne aucun résultat","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1681","filtre les transactions envoyées puis réinitialise la liste","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1716","le compte principal voit le bénéficiaire dans sa liste","Gestion de plusieurs utilisateurs","2026-09-07","passed","2026-09-07","","Stratégie A - Objet nommé par rôle","",""
"Vérifie que le formulaire d'ajout de bénéficiaire peut être ouvert","404","ouvre le formulaire d'ajout d'un bénéficiaire","","2026-09-07","passed","2026-09-07","","Bénéficiaires - ZotoBank","",""
"","961","ferme la modale quand on annule sans envoyer la transaction","","2026-09-07","passed","2026-09-07","","Nouvelle transaction - ZotoBank","",""
"","1328","fonctionne avec une fonction classique","","2026-09-07","passed","2026-09-07","","Piège des arrow functions","",""
"","1477","redirige vers /dashboard après une connexion réussie","","2026-09-07","passed","2026-09-07","","Connexion réussie - ZotoBank","",""
"","435","filtre les transactions en attente ou affiche un état vide","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","1257","filtre les transactions reçues et vérifie que les montants sont positifs","","2026-09-07","passed","2026-09-07","","Transactions - ZotoBank","",""
"","594","affiche un message de validation et reste sur /login lorsqu'on clique sur Se connecter sans saisir d'identifiants","","2026-09-07","passed","2026-09-07","","Robustesse de la connexion - champs vides","",""
